"product","user","value"
"Snickers",871,5
"Milky Way",871,2
"Lentilky",871,3
"Ferrero rocher",1475,4
"Nimm2",1136,1
"Haribo",1136,4
"Ferrero rocher",1136,4
"Chupa chups",1136,3
"Milky Way",1136,4
"Lentilky",1136,3
"Werther's Original",1136,3
"Snickers",1136,4
"Toffifee",1136,5
"Kinder surprise",1136,5
"Kopiko",1136,2
"Lion",1136,5
"Fisherman's Friend",1136,0
"Prince Polo",1136,4
"Mamba",1136,5
"Raffaello",1136,5
"Kinder bueno",1136,5
"Milka Lila Stars Raisins",1136,4
"Twix",1136,4
"Mentos Mint",1136,2
"Mars",1136,4
"Toblerone white",1136,0
"Magnum Almond",1136,5
"Maltesers",1136,0
"KitKat",1136,4
"Kinder bueno white",1136,0
"Skittles",1136,3
"Kinder bueno white",1476,5
"Kinder bueno",1476,5
"Milka Lila Stars Raisins",1476,5
"Prince Polo",1476,3
"KitKat",1476,3
"Chupa chups",1476,3
"Werther's Original",1476,3
"Maltesers",1476,5
"Kopiko",1476,3
"Lentilky",1476,3
"Ferrero rocher",1476,4
"Kaszka manna",1476,5
"Twix",1476,2
"Skittles",1476,1
"Fisherman's Friend",1476,1
"Nimm2",1476,3
"Magnum Almond",1476,4
"Kinder surprise",1476,5
"Mentos Mint",1476,5
"Mamba",1476,5
"Milky Way",1476,3
"Lion",1476,2
"Toffifee",1476,5
"Wisełka",1476,5
"Nonnette (pierniczki)",1476,5
"Kaszka manna",1475,2
"Wisełka",1475,0
"Nonnette (pierniczki)",1475,5
"Mon cheri",1475,4
"Merci",1475,3
"Fisherman's Friend",1472,0
"Lion",1472,4
"Raffaello",1472,5
"Skittles",1472,5
"Werther's Original",1472,3
"Mars",1472,4
"Prince Polo",1472,2
"Nimm2",1472,4
"Wisełka",1472,0
"Chupa chups",1472,4
"Maltesers",1472,4
"Mentos Mint",1472,1
"Twix",1472,5
"Haribo",1472,5
"Mamba",1472,5
"Snickers",1472,4
"Lentilky",1472,3
"Milka Lila Stars Raisins",1472,2
"Magnum Almond",1472,5
"Merci",1472,4
"Kinder surprise",1472,5
"Kinder bueno white",1472,2
"Mon cheri",1472,3
"Kopiko",1472,2
"Toffifee",1472,4
"Toblerone white",1472,3
"Ferrero rocher",1472,5
"Kaszka manna",1472,2
"Nonnette (pierniczki)",1472,2
"Kinder bueno",1472,5
"Milky Way",1472,2
"KitKat",1472,3
"Kaszka manna",1463,2
"Merci",1463,4
"Mentos Mint",1463,2
"Werther's Original",1463,1
"Mon cheri",1463,2
"Milka Lila Stars Raisins",1463,4
"Haribo",1463,5
"Prince Polo",1463,1
"Lentilky",1463,1
"Kinder bueno",1463,5
"Mamba",1463,4
"Kinder surprise",1463,4
"Kopiko",1463,1
"Skittles",1463,5
"Nonnette (pierniczki)",1463,1
"Milky Way",1463,3
"Chupa chups",1463,4
"Kinder bueno white",1463,4
"Toblerone white",1463,1
"Maltesers",1463,5
"Ferrero rocher",1463,5
"Wisełka",1463,2
"KitKat",1463,4
"Mars",1463,4
"Twix",1463,5
"Nimm2",1463,5
"Magnum Almond",1463,5
"Raffaello",1463,3
"Fisherman's Friend",1463,1
"Toffifee",1463,4
"Lion",1463,3
"Snickers",1463,5
"M&m's",1475,4
"Nutella",1475,3
"Bounty",1475,5
"Halls",1475,2
"Cornetto",1475,3
"Ptasie mleczko",1475,4
"Leibniz Biscuits",1475,3
"Milka White",1475,4
"Ferrero rocher",5,2
"KitKat",5,4
"Mamba",5,3
"Kopiko",5,1
"Kinder bueno white",5,5
"Twix",5,3
"Maltesers",5,2
"Werther's Original",5,4
"Milka White",5,3
"Bounty",5,5
"Magnum Almond",5,5
"Prince Polo",5,3
"Lion",5,2
"Milka Lila Stars Raisins",5,2
"Milky Way",5,2
"Mentos Mint",5,1
"Haribo",5,4
"Cornetto",5,0
"Kaszka manna",5,0
"Lentilky",5,3
"Mon cheri",5,0
"Chupa chups",5,2
"Nutella",5,3
"Toffifee",5,5
"Nimm2",5,4
"Raffaello",5,5
"Halls",5,0
"Skittles",5,4
"Kinder bueno",5,5
"Fisherman's Friend",5,0
"Ptasie mleczko",5,1
"Nonnette (pierniczki)",5,0
"Kinder surprise",5,4
"Toblerone white",5,0
"Mars",5,3
"Wisełka",5,0
"Leibniz Biscuits",5,4
"M&m's",5,4
"Merci",5,3
"Snickers",5,4
"M&m's",321,4
"Maltesers",321,5
"Mon cheri",321,2
"Halls",321,3
"Kinder bueno white",321,4
"Twix",321,4
"Kinder surprise",321,5
"Kinder bueno",321,4
"Mentos Mint",321,3
"Milka White",321,2
"Kopiko",321,1
"Fisherman's Friend",321,2
"Merci",321,3
"Nutella",321,5
"Raffaello",321,3
"Ptasie mleczko",321,5
"Toffifee",321,2
"Lentilky",321,3
"Mamba",321,5
"Magnum Almond",321,5
"Kaszka manna",321,5
"Milka Lila Stars Raisins",321,2
"Prince Polo",321,3
"Bounty",321,5
"Wisełka",321,1
"Werther's Original",321,2
"Skittles",321,3
"Lion",321,2
"Cornetto",321,3
"Haribo",321,4
"Snickers",321,3
"Milky Way",321,3
"Chupa chups",321,3
"Nimm2",321,3
"Leibniz Biscuits",321,1
"Mars",321,3
"Toblerone white",321,1
"Ferrero rocher",321,4
"KitKat",321,5
"Nonnette (pierniczki)",321,2
"Magnum Almond",152,4
"Mentos Mint",152,4
"Haribo",152,5
"Ferrero rocher",152,5
"KitKat",152,5
"M&m's",152,5
"Mamba",152,5
"Milky Way",152,5
"Wisełka",152,0
"Chupa chups",152,5
"Leibniz Biscuits",152,2
"Prince Polo",152,4
"Twix",152,5
"Toblerone white",152,0
"Snickers",152,5
"Kinder bueno white",152,5
"Milka White",152,2
"Fisherman's Friend",152,0
"Lion",152,3
"Nutella",152,5
"Merci",152,5
"Milka Lila Stars Raisins",152,5
"Cornetto",152,5
"Lentilky",152,3
"Maltesers",152,5
"Kinder bueno",152,5
"Kinder surprise",152,5
"Mars",152,5
"Bounty",152,5
"Nonnette (pierniczki)",152,5
"Mon cheri",152,2
"Werther's Original",152,3
"Halls",152,1
"Raffaello",152,5
"Nimm2",152,5
"Ptasie mleczko",152,5
"Kaszka manna",152,3
"Skittles",152,5
"Toffifee",152,5
"Kopiko",152,4
"Nutella",1476,2
"M&m's",1476,3
"Leibniz Biscuits",1476,2
"Milka White",1476,5
"Mon cheri",1476,2
"Cornetto",1476,1
"Merci",1476,3
"Halls",1476,3
"Bounty",1476,3
"Ptasie mleczko",1476,3
"Jelly (kisiel)",1476,5
"Leibniz Biscuits",1470,3
"Prince Polo",1470,3
"Kinder bueno white",1470,3
"Milka Lila Stars Raisins",1470,3
"Twix",1470,3
"Ptasie mleczko",1470,3
"Bounty",1470,3
"Kopiko",1470,3
"Merci",1470,4
"Kaszka manna",1470,4
"Maltesers",1470,4
"Kinder bueno",1470,4
"Lentilky",1470,4
"Mon cheri",1470,4
"Milky Way",1470,4
"Wisełka",1470,5
"Mentos Mint",1470,2
"Mamba",1470,5
"Werther's Original",1470,1
"Milka White",1470,2
"Jelly (kisiel)",1470,3
"Magnum Almond",1470,4
"M&m's",1470,5
"Chupa chups",1470,4
"Nutella",1470,5
"Kinder surprise",1470,5
"Haribo",1470,2
"Nimm2",1470,2
"Halls",1470,3
"Toblerone white",1470,3
"Skittles",1470,4
"Ferrero rocher",1470,4
"KitKat",1470,4
"Nonnette (pierniczki)",1470,4
"Snickers",1470,3
"Toffifee",1470,2
"Cornetto",1470,4
"Raffaello",1470,4
"Lion",1470,4
"Fisherman's Friend",1470,4
"Mars",1470,4
"Nutella",16,5
"Lion",16,4
"Werther's Original",16,2
"Chupa chups",16,2
"Kinder surprise",16,3
"Halls",16,1
"Kaszka manna",16,1
"Milka Lila Stars Raisins",16,5
"Fisherman's Friend",16,0
"Bounty",16,5
"Mars",16,4
"Haribo",16,2
"Nimm2",16,2
"Wisełka",16,0
"Kinder bueno white",16,4
"Nonnette (pierniczki)",16,1
"Kinder bueno",16,4
"Cornetto",16,3
"Kopiko",16,2
"Lentilky",16,5
"Magnum Almond",16,4
"Mentos Mint",16,1
"KitKat",16,3
"Milky Way",16,5
"Raffaello",16,5
"Ferrero rocher",16,5
"Snickers",16,4
"Toblerone white",16,0
"Skittles",16,4
"Prince Polo",16,3
"Twix",16,4
"Milka White",16,5
"Merci",16,4
"Mon cheri",16,3
"M&m's",16,5
"Ptasie mleczko",16,5
"Toffifee",16,5
"Maltesers",16,0
"Jelly (kisiel)",16,1
"Mamba",16,2
"Leibniz Biscuits",16,3
"Twix",1471,4
"Kinder surprise",1471,3
"Snickers",1471,4
"KitKat",1471,4
"Bounty",1471,5
"Milka White",1471,2
"Kaszka manna",1471,2
"Mamba",1471,4
"Ferrero rocher",1471,5
"Skittles",1471,3
"Haribo",1471,5
"Fisherman's Friend",1471,0
"Kinder bueno white",1471,3
"Kinder bueno",1471,3
"Prince Polo",1471,4
"Werther's Original",1471,4
"Halls",1471,3
"M&m's",1471,3
"Ptasie mleczko",1471,4
"Nimm2",1471,3
"Milky Way",1471,2
"Jelly (kisiel)",1471,4
"Mars",1471,3
"Lentilky",1471,3
"Mentos Mint",1471,3
"Toblerone white",1471,2
"Chupa chups",1471,3
"Leibniz Biscuits",1471,3
"Toffifee",1471,4
"Milka Lila Stars Raisins",1471,4
"Wisełka",1471,0
"Raffaello",1471,4
"Cornetto",1471,3
"Mon cheri",1471,3
"Nonnette (pierniczki)",1471,3
"Maltesers",1471,0
"Magnum Almond",1471,3
"Kopiko",1471,1
"Merci",1471,4
"Nutella",1471,5
"Lion",1471,3
"Nonnette (pierniczki)",1461,3
"Mon cheri",1461,4
"Jelly (kisiel)",1461,2
"Fisherman's Friend",1461,4
"KitKat",1461,5
"Kaszka manna",1461,1
"Twix",1461,4
"Mentos Mint",1461,4
"Ptasie mleczko",1461,5
"Magnum Almond",1461,5
"Merci",1461,5
"Skittles",1461,3
"Mamba",1461,3
"Leibniz Biscuits",1461,1
"Haribo",1461,3
"Nutella",1461,3
"Snickers",1461,4
"Lion",1461,3
"Werther's Original",1461,3
"Milka Lila Stars Raisins",1461,3
"Lentilky",1461,3
"Bounty",1461,4
"Toffifee",1461,5
"Prince Polo",1461,3
"Raffaello",1461,5
"Kinder bueno",1461,5
"Milka White",1461,2
"M&m's",1461,3
"Mars",1461,3
"Chupa chups",1461,3
"Wisełka",1461,1
"Toblerone white",1461,2
"Kinder surprise",1461,5
"Ferrero rocher",1461,5
"Cornetto",1461,5
"Kopiko",1461,4
"Nimm2",1461,4
"Milky Way",1461,4
"Halls",1461,3
"Kinder bueno white",1461,4
"Maltesers",1461,5
"Milka Lila Stars Raisins",40,3
"Milka White",40,4
"Kinder bueno white",40,2
"Leibniz Biscuits",40,0
"Mamba",40,5
"Twix",40,5
"Nimm2",40,0
"Wisełka",40,0
"Bounty",40,4
"Kinder surprise",40,5
"Fisherman's Friend",40,0
"Ptasie mleczko",40,5
"Magnum Almond",40,5
"Mars",40,2
"Nonnette (pierniczki)",40,5
"Raffaello",40,5
"Prince Polo",40,4
"Snickers",40,4
"Cornetto",40,5
"Chupa chups",40,5
"Merci",40,5
"Toffifee",40,4
"Lentilky",40,0
"Haribo",40,4
"KitKat",40,4
"Skittles",40,5
"Halls",40,3
"Toblerone white",40,0
"Lion",40,4
"Kaszka manna",40,0
"Mentos Mint",40,3
"Nutella",40,4
"Werther's Original",40,5
"Kinder bueno",40,4
"Jelly (kisiel)",40,2
"Ferrero rocher",40,5
"Mon cheri",40,5
"M&m's",40,5
"Kopiko",40,4
"Milky Way",40,4
"Maltesers",40,0
"Kinder bueno",1097,5
"Milka Lila Stars Raisins",1097,2
"Chupa chups",1097,5
"Prince Polo",1097,4
"Haribo",1097,5
"Nonnette (pierniczki)",1097,4
"Ferrero rocher",1097,5
"Leibniz Biscuits",1097,3
"Cornetto",1097,5
"Milky Way",1097,1
"Nimm2",1097,5
"Mentos Mint",1097,4
"Twix",1097,5
"Mon cheri",1097,4
"Jelly (kisiel)",1097,3
"Lentilky",1097,3
"Wisełka",1097,0
"Kopiko",1097,3
"Mamba",1097,4
"Toffifee",1097,4
"Lion",1097,3
"M&m's",1097,4
"Toblerone white",1097,5
"Merci",1097,4
"Kinder surprise",1097,5
"Kaszka manna",1097,5
"Skittles",1097,5
"Bounty",1097,3
"Snickers",1097,5
"Magnum Almond",1097,5
"KitKat",1097,4
"Halls",1097,3
"Raffaello",1097,5
"Fisherman's Friend",1097,0
"Werther's Original",1097,4
"Mars",1097,2
"Maltesers",1097,4
"Nutella",1097,4
"Ptasie mleczko",1097,5
"Kinder bueno white",1097,5
"Milka White",1097,5
"Chupa chups",78,3
"Maltesers",78,5
"KitKat",78,4
"Ptasie mleczko",78,4
"Leibniz Biscuits",78,2
"Nonnette (pierniczki)",78,0
"Prince Polo",78,3
"Milka Lila Stars Raisins",78,5
"Kaszka manna",78,0
"Wisełka",78,0
"Fisherman's Friend",78,3
"Kinder bueno white",78,5
"Skittles",78,4
"Jelly (kisiel)",78,0
"Nimm2",78,2
"Merci",78,3
"Werther's Original",78,3
"Milka White",78,3
"Halls",78,2
"Mentos Mint",78,2
"Raffaello",78,3
"Kinder surprise",78,4
"Kopiko",78,2
"Mamba",78,3
"Bounty",78,3
"Magnum Almond",78,3
"Toffifee",78,3
"Mon cheri",78,3
"Twix",78,5
"Toblerone white",78,5
"M&m's",78,5
"Haribo",78,4
"Lion",78,4
"Cornetto",78,4
"Nutella",78,4
"Milky Way",78,3
"Lentilky",78,5
"Ferrero rocher",78,4
"Kinder bueno",78,5
"Snickers",78,2
"Mars",78,3
"Jelly (kisiel)",1475,1
"Jelly (kisiel)",321,1
"Prince Polo",457,2
"Nutella",457,5
"Kinder bueno",457,3
"Kopiko",457,1
"Halls",457,3
"Mars",457,5
"Magnum Almond",457,5
"Wisełka",457,2
"KitKat",457,4
"Milka White",457,5
"Werther's Original",457,4
"Ferrero rocher",457,3
"Lion",457,2
"Maltesers",457,5
"Nimm2",457,5
"Raffaello",457,5
"Milka Lila Stars Raisins",457,5
"Jelly (kisiel)",457,5
"Bounty",457,4
"M&m's",457,5
"Kinder surprise",457,4
"Twix",457,5
"Mentos Mint",457,3
"Lentilky",457,5
"Mon cheri",457,3
"Kinder bueno white",457,0
"Cornetto",457,2
"Nonnette (pierniczki)",457,2
"Snickers",457,5
"Fisherman's Friend",457,0
"Skittles",457,4
"Merci",457,4
"Leibniz Biscuits",457,2
"Toffifee",457,3
"Haribo",457,4
"Toblerone white",457,5
"Milky Way",457,5
"Kaszka manna",457,2
"Mamba",457,2
"Ptasie mleczko",457,2
"Chupa chups",457,5
"Maltesers",1465,5
"Milky Way",1465,2
"Wisełka",1465,0
"Prince Polo",1465,3
"Kinder bueno white",1465,2
"Halls",1465,3
"Nimm2",1465,5
"Skittles",1465,5
"Kinder bueno",1465,2
"Bounty",1465,1
"Werther's Original",1465,4
"Ptasie mleczko",1465,5
"Toffifee",1465,5
"Nutella",1465,4
"Lion",1465,4
"M&m's",1465,3
"Snickers",1465,3
"Leibniz Biscuits",1465,3
"Haribo",1465,4
"Mon cheri",1465,2
"Jelly (kisiel)",1465,4
"Milka Lila Stars Raisins",1465,3
"Kopiko",1465,4
"Raffaello",1465,1
"Mamba",1465,4
"Chupa chups",1465,4
"Mars",1465,4
"Mentos Mint",1465,3
"Toblerone white",1465,4
"Kaszka manna",1465,2
"Merci",1465,2
"Nonnette (pierniczki)",1465,4
"Milka White",1465,3
"Fisherman's Friend",1465,1
"Cornetto",1465,3
"KitKat",1465,5
"Kinder surprise",1465,2
"Magnum Almond",1465,5
"Twix",1465,5
"Lentilky",1465,0
"Ferrero rocher",1465,4
"Fisherman's Friend",1315,0
"Ptasie mleczko",1315,5
"Nutella",1315,3
"Leibniz Biscuits",1315,5
"Skittles",1315,1
"Mentos Mint",1315,3
"Ferrero rocher",1315,4
"Bounty",1315,4
"Haribo",1315,4
"Toblerone white",1315,1
"Cornetto",1315,2
"Nonnette (pierniczki)",1315,5
"Milka Lila Stars Raisins",1315,5
"Lion",1315,2
"Milky Way",1315,4
"Nimm2",1315,2
"Halls",1315,5
"Snickers",1315,1
"Maltesers",1315,4
"Toffifee",1315,4
"Kopiko",1315,1
"Kinder bueno",1315,3
"Raffaello",1315,5
"Jelly (kisiel)",1315,3
"Twix",1315,3
"Mon cheri",1315,4
"Mamba",1315,1
"Lentilky",1315,4
"KitKat",1315,4
"Kinder bueno white",1315,4
"M&m's",1315,2
"Werther's Original",1315,4
"Magnum Almond",1315,4
"Chupa chups",1315,1
"Kinder surprise",1315,5
"Prince Polo",1315,5
"Wisełka",1315,4
"Kaszka manna",1315,2
"Mars",1315,1
"Merci",1315,4
"Milka White",1315,2
"Milka Lila Stars Raisins",4,0
"Kopiko",4,4
"Lion",4,4
"Merci",4,4
"Jelly (kisiel)",4,3
"KitKat",4,5
"Skittles",4,5
"Werther's Original",4,4
"Nutella",4,4
"Twix",4,5
"Toffifee",4,5
"Milky Way",4,5
"Bounty",4,5
"Kinder bueno",4,3
"Cornetto",4,3
"Kaszka manna",4,0
"Prince Polo",4,4
"Ptasie mleczko",4,4
"Nimm2",4,3
"Kinder surprise",4,4
"M&m's",4,5
"Mamba",4,3
"Milka White",4,4
"Fisherman's Friend",4,0
"Mon cheri",4,0
"Halls",4,3
"Nonnette (pierniczki)",4,0
"Maltesers",4,3
"Kinder bueno white",4,0
"Lentilky",4,5
"Leibniz Biscuits",4,4
"Ferrero rocher",4,5
"Wisełka",4,0
"Chupa chups",4,2
"Merci",1474,4
"Snickers",1474,3
"Milka White",1474,2
"Cornetto",1474,1
"Halls",1474,2
"Werther's Original",1474,3
"Twix",1474,3
"Skittles",1474,4
"Kinder surprise",1474,4
"Haribo",1474,3
"Raffaello",1474,5
"Ferrero rocher",1474,5
"Milka Lila Stars Raisins",1474,5
"Mamba",1474,3
"Kopiko",1474,2
"Fisherman's Friend",1474,2
"Prince Polo",1474,4
"Lion",1474,3
"Bounty",1474,5
"Mars",1474,3
"Mon cheri",1474,3
"Leibniz Biscuits",1474,1
"Kaszka manna",1474,4
"Toblerone white",1474,2
"Milky Way",1474,2
"Kinder bueno white",1474,4
"Nimm2",1474,3
"Ptasie mleczko",1474,5
"Jelly (kisiel)",1474,4
"Lentilky",1474,3
"Toffifee",1474,4
"M&m's",1474,4
"Kinder bueno",1474,5
"KitKat",1474,3
"Chupa chups",1474,3
"Maltesers",1474,4
"Magnum Almond",1474,4
"Nutella",1474,5
"Wisełka",1474,4
"Mentos Mint",1474,2
"Nonnette (pierniczki)",1474,5
"Twix",1473,4
"Fisherman's Friend",1473,0
"Werther's Original",1473,4
"Mentos Mint",1473,1
"Halls",1473,2
"Mars",1473,5
"Chupa chups",1473,4
"Raffaello",1473,5
"Cornetto",1473,4
"M&m's",1473,5
"KitKat",1473,4
"Kinder bueno white",1473,3
"Kopiko",1473,2
"Ferrero rocher",1473,4
"Magnum Almond",1473,5
"Haribo",1473,5
"Kaszka manna",1473,2
"Milky Way",1473,4
"Jelly (kisiel)",1473,3
"Mon cheri",1473,3
"Mamba",1473,3
"Kinder surprise",1473,4
"Wisełka",1473,0
"Nutella",1473,4
"Lentilky",1473,5
"Lion",1473,4
"Skittles",1473,4
"Snickers",1473,4
"Ptasie mleczko",1473,4
"Nimm2",1473,4
"Milka White",1473,3
"Kinder bueno",1473,3
"Toblerone white",1473,3
"Leibniz Biscuits",1473,2
"Bounty",1473,5
"Maltesers",1473,5
"Prince Polo",1473,5
"Merci",1473,5
"Nonnette (pierniczki)",1473,3
"Toffifee",1473,4
"Milka Lila Stars Raisins",1473,4
"Creme puffs (ptysie)",1473,5
"Donuts ",1473,4
"Manhattan Ice Cream",1473,5
"Manhattan Ice Cream",1475,4
"After Eight ",1473,4
"After Eight ",1475,2
"Creme puffs (ptysie)",1475,4
"Donuts ",1475,3
"Milka Hazelnuts",1473,4
"Milka Hazelnuts",1475,4
"Werther's Original",1462,5
"Kaszka manna",1462,3
"Kinder surprise",1462,5
"Bounty",1462,5
"Ptasie mleczko",1462,4
"Mars",1462,4
"Milky Way",1462,5
"Mentos Mint",1462,4
"Merci",1462,5
"Mamba",1462,5
"Kinder bueno",1462,5
"Milka Hazelnuts",1462,4
"Fisherman's Friend",1462,3
"Magnum Almond",1462,5
"Nimm2",1462,5
"M&m's",1462,5
"Creme puffs (ptysie)",1462,3
"Donuts ",1462,4
"Ferrero rocher",1462,4
"Toffifee",1462,5
"Manhattan Ice Cream",1462,3
"Kopiko",1462,2
"Milka Lila Stars Raisins",1462,5
"After Eight ",1462,2
"Jelly (kisiel)",1462,1
"Mon cheri",1462,1
"Cornetto",1462,5
"Lentilky",1462,5
"Milka White",1462,5
"Skittles",1462,5
"Lion",1462,4
"Wisełka",1462,0
"Chupa chups",1462,4
"Nonnette (pierniczki)",1462,4
"KitKat",1462,3
"Maltesers",1462,5
"Prince Polo",1462,4
"Leibniz Biscuits",1462,3
"Twix",1462,5
"Toblerone white",1462,5
"Raffaello",1462,5
"Snickers",1462,5
"Nutella",1462,5
"Kinder bueno white",1462,0
"Halls",1462,4
"Haribo",1462,5
"Nonnette (pierniczki)",280,2
"Merci",280,2
"Leibniz Biscuits",280,0
"Mon cheri",280,2
"Milka Hazelnuts",280,5
"Nutella",280,4
"Halls",280,3
"Manhattan Ice Cream",280,0
"Ferrero rocher",280,3
"Ptasie mleczko",280,4
"After Eight ",280,0
"Wisełka",280,0
"Creme puffs (ptysie)",280,0
"M&m's",280,3
"Jelly (kisiel)",280,0
"Milka White",280,5
"Kaszka manna",280,0
"Donuts ",280,3
"Bounty",280,2
"Cornetto",280,3
"Kaszka manna",1460,3
"Ptasie mleczko",1460,4
"Milka Lila Stars Raisins",1460,3
"Kinder bueno",1460,4
"Manhattan Ice Cream",1460,5
"Cornetto",1460,5
"Kinder bueno white",1460,3
"Twix",1460,3
"Leibniz Biscuits",1460,2
"Nutella",1460,2
"Milky Way",1460,3
"Kinder surprise",1460,4
"Merci",1460,4
"Lion",1460,2
"M&m's",1460,2
"Skittles",1460,2
"Mamba",1460,3
"Creme puffs (ptysie)",1460,2
"Prince Polo",1460,3
"Bounty",1460,3
"Jelly (kisiel)",1460,3
"Werther's Original",1460,4
"Milka Hazelnuts",1460,3
"Donuts ",1460,1
"Mon cheri",1460,2
"Nimm2",1460,2
"Nonnette (pierniczki)",1460,5
"Milka White",1460,1
"Chupa chups",1460,2
"Kopiko",1460,4
"After Eight ",1460,3
"Maltesers",1460,3
"Wisełka",1460,3
"KitKat",1460,4
"Halls",1460,4
"Toffifee",1460,5
"Ferrero rocher",1460,5
"Creme puffs (ptysie)",4,4
"After Eight ",4,0
"Milka Hazelnuts",4,4
"Manhattan Ice Cream",4,0
"Donuts ",4,4
"Prince Polo",289,5
"Lion",289,5
"Nonnette (pierniczki)",289,4
"Jelly (kisiel)",289,2
"Chupa chups",289,1
"Halls",289,1
"Kinder surprise",289,1
"Ferrero rocher",289,5
"Bounty",289,2
"After Eight ",289,0
"Lentilky",289,1
"Toblerone white",289,5
"KitKat",289,5
"Werther's Original",289,1
"Merci",289,2
"Cornetto",289,0
"Wisełka",289,0
"Nimm2",289,1
"Kaszka manna",289,1
"Mon cheri",289,3
"M&m's",289,2
"Raffaello",289,5
"Manhattan Ice Cream",289,0
"Leibniz Biscuits",289,1
"Twix",289,4
"Milka Lila Stars Raisins",289,4
"Mentos Mint",289,5
"Fisherman's Friend",289,0
"Milka Hazelnuts",289,5
"Milka White",289,5
"Donuts ",289,5
"Kopiko",289,1
"Creme puffs (ptysie)",289,3
"Mars",289,3
"Kinder bueno",289,3
"Nutella",289,5
"Toffifee",289,4
"Milky Way",289,5
"Kinder bueno white",289,5
"Haribo",289,5
"Maltesers",289,5
"Skittles",289,2
"Mamba",289,2
"Ptasie mleczko",289,2
"Snickers",289,2
"Magnum Almond",289,0
"Lion",911,2
"Mamba",911,4
"Chupa chups",911,1
"Kaszka manna",911,0
"Milka Lila Stars Raisins",911,1
"KitKat",911,4
"Leibniz Biscuits",911,2
"Kopiko",911,4
"Creme puffs (ptysie)",911,2
"Toffifee",911,4
"Ptasie mleczko",911,5
"Manhattan Ice Cream",911,0
"Snickers",911,5
"Cornetto",911,3
"Lentilky",911,1
"Toblerone white",911,0
"Haribo",911,4
"Magnum Almond",911,3
"Prince Polo",911,2
"Halls",911,1
"Nutella",911,5
"Jelly (kisiel)",911,1
"Twix",911,2
"Nonnette (pierniczki)",911,2
"Ferrero rocher",911,4
"After Eight ",911,0
"Werther's Original",911,1
"M&m's",911,2
"Kinder bueno",911,4
"Wisełka",911,0
"Kinder bueno white",911,0
"Mars",911,5
"Bounty",911,3
"Kinder surprise",911,5
"Maltesers",911,4
"Milka Hazelnuts",911,5
"Nimm2",911,2
"Donuts ",911,5
"Fisherman's Friend",911,0
"Mentos Mint",911,1
"Raffaello",911,4
"Merci",911,5
"Mon cheri",911,1
"Milky Way",911,4
"Skittles",911,3
"Milka White",911,5
"Cornetto",1388,0
"Donuts ",1388,4
